,ID_昼お魚,name_昼お魚,曜日,個数,周辺平均,人気度,基本数
2021-11-04,,黄金カレイ煮付け,3.0,82.0,92.97727272727272,0.9,91.11111111111111
2021-11-05,,白身魚南蛮漬け,4.0,84.0,89.7159090909091,0.9362887903736542,93.33333333333333
2021-11-08,,カレイの竜田揚げおろしかけ,0.0,106.0,96.33333333333333,1.1,99.5
2021-11-09,,あじの塩こうじ焼き　60ｇ,1.0,82.0,63.45833333333333,1.1,74.54545454545453
2021-11-10,,さば南蛮漬け,2.0,90.0,83.28619528619528,1.080611254851229,86.0
2021-11-11,,黄金カレイ煮付け,3.0,104.0,88.11868686868686,1.1,94.54545454545453
2021-11-12,,赤魚の塩こうじ焼き　60ｇ,4.0,80.0,85.75378787878788,0.9329033967931446,86.0
2021-11-15,,さわら塩麴焼き,0.0,110.0,95.43055555555554,1.1,99.99999999999999
2021-11-16,,黄金カレイ煮付け,1.0,48.0,68.54545454545453,0.9,53.33333333333333
2021-11-17,,鮭の塩焼き,2.0,74.0,83.04545454545455,0.9,82.22222222222221
2021-11-18,,サバの塩焼き,3.0,88.0,85.05050505050505,1.0346793349168646,84.99999999999999
2021-11-19,,アジ塩焼き,4.0,78.0,81.08333333333333,0.9619732785200412,76.5
2021-11-22,,白身魚唐揚げ野菜あん　昼,0.0,110.0,94.3699494949495,1.1,99.99999999999999
2021-11-23,,鮭の塩焼き,1.0,36.0,70.75378787878788,0.9,40.0
2021-11-24,,さば竜田揚げ,2.0,92.0,83.55555555555556,1.1,83.63636363636363
2021-11-25,,さわらの西京焼き　50ｇ,3.0,72.0,81.52272727272725,0.9,80.0
2021-11-26,,赤魚の煮つけ,4.0,74.0,74.94318181818181,0.9874147081122063,75.0
2021-11-29,,さばの味噌煮　60ｇ,0.0,80.0,91.14772727272727,0.9,88.88888888888889
2021-11-30,,鮭の塩焼き,1.0,92.0,60.753787878787875,1.1,83.63636363636363
2021-12-01,,さばのみりん焼き　60ｇ,2.0,76.0,83.64520202020202,0.9085996347004393,79.5
2021-12-02,,さわらの西京焼き　50ｇ,3.0,82.0,76.47222222222223,1.0722847802397384,74.54545454545453
2021-12-03,,赤魚の煮つけ,4.0,68.0,69.69318181818181,0.9757052013696397,70.0
2021-12-06,,カレイの唐揚げ,0.0,98.0,83.31944444444443,1.1,89.09090909090908
2021-12-07,,赤魚の西京焼き　60g,1.0,70.0,69.95454545454545,1.000649772579597,71.5
2021-12-08,,鮭の塩焼き,2.0,78.0,84.9760101010101,0.9179061232373962,86.5
2021-12-09,,あじの塩こうじ焼き　60ｇ,3.0,76.0,73.52525252525253,1.033658469569996,72.0
2021-12-10,,さば南蛮漬け,4.0,74.0,67.25,1.1,67.27272727272727
2021-12-13,,鮭の塩焼き,0.0,78.0,76.55050505050505,1.0189351454773372,75.5
2021-12-14,,さばの味噌煮　60ｇ,1.0,86.0,77.7121212121212,1.1,78.18181818181817
2021-12-15,,豆アジ南蛮漬け,2.0,74.0,86.84848484848483,0.9,82.22222222222221
2021-12-16,,黄金カレイ煮付け,3.0,62.0,72.4040404040404,0.9,68.88888888888889
2021-12-17,,赤魚の西京焼き　60g,4.0,54.0,67.09090909090908,0.9,60.0
2021-12-20,,鮭の塩焼き,0.0,62.0,74.64141414141413,0.9,68.88888888888889
2021-12-21,,黄金カレイ煮付け,1.0,72.0,74.8409090909091,0.962040692377771,78.0
2021-12-22,,白身魚唐揚げ野菜あん　昼,2.0,104.0,84.36111111111111,1.1,94.54545454545453
2021-12-23,,あじの西京焼き　60ｇ,3.0,72.0,74.37037037037037,0.9681274900398407,70.66666666666667
2021-12-24,,さばの味噌煮　60ｇ,4.0,68.0,66.12794612794613,1.0283095723014255,64.0
2021-12-27,,鮭の塩焼き,0.0,62.0,62.2037037037037,0.9967252158380471,59.33333333333334
2022-01-06,,さばのみりん焼き　60ｇ,3.0,74.0,82.94949494949495,0.9,82.22222222222221
2022-01-07,,赤魚の西京焼き　60g,4.0,64.0,73.77777777777777,0.9,71.11111111111111
2022-01-10,,さば南蛮漬け,0.0,38.0,69.81818181818183,0.9,42.22222222222222
2022-01-11,,黄金カレイ煮付け,1.0,72.0,100.7070707070707,0.9,80.0
2022-01-12,,赤魚の塩こうじ焼き　60ｇ,2.0,82.0,80.3030303030303,1.0211320754716982,81.0
2022-01-13,,鮭の塩焼き,3.0,108.0,87.4074074074074,1.1,98.18181818181817
2022-01-14,,さばの味噌煮　60ｇ,4.0,70.0,74.61279461279462,0.9381768953068592,77.33333333333333
2022-01-17,,赤魚の西京焼き　60g,0.0,68.0,65.52188552188552,1.0378211716341212,64.66666666666667
2022-01-18,,さばの味噌煮　60ｇ,1.0,114.0,96.83501683501682,1.1,103.63636363636363
2022-01-19,,アジ塩焼き,2.0,66.0,81.54545454545455,0.9,73.33333333333333
2022-01-20,,鮭の塩焼き,3.0,72.0,93.10101010101009,0.9,80.0
2022-01-21,,黄金カレイ煮付け,4.0,88.0,73.6679292929293,1.1,80.0
2022-01-24,,さばの味噌煮　60ｇ,0.0,94.0,62.77777777777777,1.1,85.45454545454545
2022-01-25,,赤魚の煮つけ,1.0,88.0,100.5909090909091,0.9,97.77777777777777
2022-01-26,,さわらの西京焼き　50ｇ,2.0,96.0,77.11868686868686,1.1,87.27272727272727
